GEOID,num_of_stores
27053000102,1
27053000601,3
27053001100,3
27053001700,2
27053002200,1
27053002400,1
27053003800,2
27053005901,2
27053005902,4
27053006800,1
27053007700,8
27053007801,1
27053008100,1
27053008200,5
27053008300,3
27053008400,2
27053008500,4
27053009500,2
27053009600,1
27053011000,3
27053011704,1
27053011998,2
27053012001,1
27053012003,2
27053012101,2
27053020102,1
27053020200,8
27053020301,2
27053020303,3
27053020304,3
27053020400,3
27053020500,2
27053020700,2
27053020801,3
27053020804,5
27053020903,1
27053021001,2
27053021002,1
27053021100,1
27053021200,2
27053021300,8
27053021501,4
27053021502,5
27053021503,4
27053021504,1
27053021505,6
27053021601,2
27053021602,4
27053021900,2
27053022000,2
27053022101,2
27053022102,1
27053022302,4
27053022700,1
27053022802,1
27053022901,4
27053023000,3
27053023200,5
27053023300,7
27053023400,5
27053023501,1
27053023600,2
27053023700,3
27053023802,1
27053023903,1
27053024004,3
27053024005,3
27053024100,5
27053024400,5
27053024600,4
27053024700,1
27053024801,2
27053024802,1
27053024901,3
27053024902,1
27053025100,3
27053025201,3
27053025205,3
27053025301,1
27053025302,3
27053025401,5
27053025403,1
27053025601,2
27053025603,3
27053025605,2
27053025701,1
27053025801,2
27053025803,4
27053025903,1
27053025906,1
27053026005,2
27053026006,1
27053026007,2
27053026015,2
27053026016,4
27053026019,10
27053026020,3
27053026021,2
27053026101,1
27053026103,2
27053026201,4
27053026202,1
27053026208,2
27053026302,3
27053026402,3
27053026403,2
27053026404,2
27053026507,5
27053026508,2
27053026509,2
27053026510,4
27053026512,1
27053026514,6
27053026605,1
27053026610,1
27053026611,3
27053026612,3
27053026613,2
27053026702,2
27053026708,4
27053026710,14
27053026711,1
27053026713,1
27053026714,6
27053026715,2
27053026807,2
27053026809,1
27053026810,8
27053026811,1
27053026812,7
27053026814,3
27053026816,10
27053026818,6
27053026819,1
27053026820,5
27053026822,6
27053026903,1
27053026906,2
27053026907,3
27053026908,4
27053026909,12
27053026910,1
27053027101,5
27053027202,1
27053027203,4
27053027300,3
27053027501,1
27053027503,2
27053027504,3
27053027601,2
27053027602,1
27053027700,2
27053100200,2
27053100400,3
27053100500,1
27053100700,1
27053100800,2
27053100900,5
27053101200,1
27053101300,3
27053101600,2
27053101800,4
27053101900,1
27053102000,1
27053102100,3
27053102300,3
27053102500,3
27053102600,2
27053102800,1
27053102900,2
27053103000,1
27053103100,1
27053103400,2
27053103600,2
27053103900,1
27053104000,4
27053104100,2
27053104400,3
27053104800,6
27053104900,2
27053105100,1
27053105201,1
27053105204,1
27053105400,2
27053105600,4
27053105700,3
27053106000,6
27053106200,3
27053106400,1
27053106500,3
27053106600,4
27053106700,1
27053106900,4
27053107000,6
27053107400,3
27053107500,1
27053107600,3
27053108000,1
27053108600,5
27053108700,1
27053108800,3
27053109100,1
27053109200,1
27053109300,4
27053109700,1
27053109800,2
27053109900,1
27053110000,1
27053110100,2
27053110400,1
27053110500,2
27053110800,1
27053110900,1
27053111100,2
27053111200,1
27053111400,1
27053111500,2
27053122500,3
27053122600,1
27053125500,7
27053125600,1
27053125700,4
27053125800,8
27053125900,8
27053126100,8
27053126200,2
27053980000,2